location_id,location_name,sensor_id,parameter,lat,lon,city
1894636,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,6.066,8.34,Cross River State
1894640,Calabar,7466400,pm25,5.02529,8.34843,Cross River State
3400895,University of Lagos/Makoko,12178112,pm25,6.517912,3.385983,Lagos State
3400895,University of Lagos/Makoko,12178113,relativehumidity,6.517912,3.385983,Lagos State
3400895,University of Lagos/Makoko,12178114,temperature,6.517912,3.385983,Lagos State
4579812,Sagamu Road - Ikorodu,13844885,pm25,6.63512,3.51558,Lagos State
4579812,Sagamu Road - Ikorodu,13844886,relativehumidity,6.63512,3.51558,Lagos State
4579812,Sagamu Road - Ikorodu,13844887,temperature,6.63512,3.51558,Lagos State
4605121,M.K.O Abiola Gardens,13851866,pm25,6.621462,3.362492,Lagos State
4605121,M.K.O Abiola Gardens,13851867,relativehumidity,6.621462,3.362492,Lagos State
4605121,M.K.O Abiola Gardens,13851868,temperature,6.621462,3.362492,Lagos State
4850452,Shagisha - Magodo,13418561,pm25,6.6138978826038075,3.37470481094047,Lagos State
4850452,Shagisha - Magodo,13418562,relativehumidity,6.6138978826038075,3.37470481094047,Lagos State
4850452,Shagisha - Magodo,13418563,temperature,6.6138978826038075,3.37470481094047,Lagos State
4903342,Osborne - Ikoyi,13466038,pm25,6.458151,3.423132,Lagos State
4903342,Osborne - Ikoyi,13466039,relativehumidity,6.458151,3.423132,Lagos State
4903342,Osborne - Ikoyi,13466040,temperature,6.458151,3.423132,Lagos State
4903422,Dolphin Estate - Lagos,13466606,pm25,6.45829,3.415643,Lagos State
4903422,Dolphin Estate - Lagos,13466607,relativehumidity,6.45829,3.415643,Lagos State
4903422,Dolphin Estate - Lagos,13466608,temperature,6.45829,3.415643,Lagos State
4959161,Ketu - Lagos,13512808,pm25,6.597049977017641,3.3887163100637974,Lagos State
4959161,Ketu - Lagos,13512809,relativehumidity,6.597049977017641,3.3887163100637974,Lagos State
4959161,Ketu - Lagos,13512810,temperature,6.597049977017641,3.3887163100637974,Lagos State
4986946,Arepo - Ogun State,13534811,temperature,6.696900148176493,3.425331320586317,Ogun State
4986946,Arepo - Ogun State,13534809,pm25,6.696900148176493,3.425331320586317,Ogun State
4986946,Arepo - Ogun State,13534810,relativehumidity,6.696900148176493,3.425331320586317,Ogun State
5011605,Ikorodu Bus Terminal,13553849,pm25,6.620901238525096,3.502717467376165,Lagos State
5011605,Ikorodu Bus Terminal,13553850,relativehumidity,6.620901238525096,3.502717467376165,Lagos State
5011605,Ikorodu Bus Terminal,13553851,temperature,6.620901238525096,3.502717467376165,Lagos State
5038498,Oshodi Bus Terminal 3,13573593,pm25,6.556652608079174,3.352284660968298,Lagos State
5038498,Oshodi Bus Terminal 3,13573594,relativehumidity,6.556652608079174,3.352284660968298,Lagos State
5038498,Oshodi Bus Terminal 3,13573595,temperature,6.556652608079174,3.352284660968298,Lagos State
5045024,Ifako-Ijaiye Bus Terminal,13578379,pm25,6.631341496657129,3.3246618554587486,Lagos State
5045024,Ifako-Ijaiye Bus Terminal,13578380,relativehumidity,6.631341496657129,3.3246618554587486,Lagos State
5045024,Ifako-Ijaiye Bus Terminal,13578381,temperature,6.631341496657129,3.3246618554587486,Lagos State
5046018,Agege Redline Train Station,13578919,pm25,6.620994137087932,3.325885204452219,Lagos State
5046018,Agege Redline Train Station,13578920,relativehumidity,6.620994137087932,3.325885204452219,Lagos State
5046018,Agege Redline Train Station,13578921,temperature,6.620994137087932,3.325885204452219,Lagos State
5129500,Abule Egaba Bus Terminal,13860205,pm25,6.64748483724529,3.30651086882426,Lagos State
5129500,Abule Egaba Bus Terminal,13860206,relativehumidity,6.64748483724529,3.30651086882426,Lagos State
5129500,Abule Egaba Bus Terminal,13860207,temperature,6.64748483724529,3.30651086882426,Lagos State
5154310,MMIA Ewu Bus Terminal,13843840,pm25,6.5555233060620735,3.323778200865337,Lagos State
5154310,MMIA Ewu Bus Terminal,13843841,relativehumidity,6.5555233060620735,3.323778200865337,Lagos State
5154310,MMIA Ewu Bus Terminal,13843842,temperature,6.5555233060620735,3.323778200865337,Lagos State
5188632,Ojota Bus Terminal,13843845,pm25,6.5893928423585315,3.3780244498389376,Lagos State
5188632,Ojota Bus Terminal,13843846,relativehumidity,6.5893928423585315,3.3780244498389376,Lagos State
5188632,Ojota Bus Terminal,13843847,temperature,6.5893928423585315,3.3780244498389376,Lagos State
5269430,Lawanson QBC,13843850,pm25,6.512309246137081,3.34810632702351,Lagos State
5269430,Lawanson QBC,13843851,relativehumidity,6.512309246137081,3.34810632702351,Lagos State
5269430,Lawanson QBC,13843852,temperature,6.512309246137081,3.34810632702351,Lagos State
5350409,LASWA - Five Cowries Terminal,13843860,pm25,6.442321082249053,3.4274247088200775,Lagos State
5350409,LASWA - Five Cowries Terminal,13843861,relativehumidity,6.442321082249053,3.4274247088200775,Lagos State
5350409,LASWA - Five Cowries Terminal,13843862,temperature,6.442321082249053,3.4274247088200775,Lagos State
5516338,MARINA INTERCHANGE STATION,13923456,pm25,6.4461,3.395,Lagos State
5516341,Mile 2 Interchange,13923457,pm25,6.4383,3.2634,Lagos State
5516343,Justrite - Ogolonto,13923470,pm25,6.6187,3.4757,Ogun State
5593111,"WEP/DH360, Abuja",13980967,pm25,9.076479,7.398574,FCT Abuja
5593111,"WEP/DH360, Abuja",13980968,relativehumidity,9.076479,7.398574,FCT Abuja
5593111,"WEP/DH360, Abuja",13980969,temperature,9.076479,7.398574,FCT Abuja
6095033,Ojuelegba QBC,14374451,pm25,6.510316056732983,3.3628513749513247,Lagos State
6095033,Ojuelegba QBC,14374452,relativehumidity,6.510316056732983,3.3628513749513247,Lagos State
6095033,Ojuelegba QBC,14374453,temperature,6.510316056732983,3.3628513749513247,Lagos State
